iter	RMSE
0	14.20860424
1	13.29394023
2	12.50477897
3	11.74490258
4	11.07269349
5	10.52442618
6	9.962504111
7	9.498331738
8	9.075709125
9	8.646586965
10	8.259306689
11	7.944632236
12	7.663264903
13	7.403204981
14	7.146095853
15	6.931548209
16	6.750607103
17	6.599001114
18	6.449436655
19	6.320042604
20	6.210034283
21	6.102090366
22	5.997318349
23	5.909640597
24	5.817150294
25	5.759416261
26	5.687507967
27	5.631704381
28	5.583043357
29	5.540427556
30	5.483390297
31	5.445172192
32	5.403541557
33	5.374787746
34	5.334301441
35	5.30072557
36	5.276847229
37	5.256193781
38	5.230921627
39	5.211713208
40	5.197053243
41	5.184710421
42	5.168541798
43	5.15329648
44	5.129617554
45	5.109506516
46	5.088154551
47	5.074478656
48	5.060550625
49	5.043945926
50	5.030215848
51	5.020756517
52	5.004269048
53	4.99457846
54	4.983239797
55	4.971409497
56	4.955557578
57	4.939078138
58	4.926527367
59	4.916418279
60	4.90794408
61	4.901397454
62	4.885746473
63	4.871026644
64	4.866578246
65	4.858366944
66	4.854794975
67	4.849558832
68	4.845471824
69	4.834162335
70	4.820287353
71	4.809689149
72	4.800536804
73	4.794236229
74	4.788316504
75	4.774306845
76	4.769080737
77	4.756312457
78	4.751066359
79	4.746884224
80	4.738303645
81	4.731828069
82	4.720244647
83	4.708787186
84	4.703655603
85	4.694938221
86	4.69002991
87	4.683914987
88	4.679618974
89	4.670176467
90	4.660066929
91	4.648375738
92	4.645341587
93	4.637069861
94	4.635266899
95	4.632712382
96	4.630353394
97	4.616464676
98	4.610317045
99	4.600176075
