iter	Passed	Remaining
0	2	295
1	5	291
2	8	282
3	11	276
4	14	268
5	16	262
6	19	261
7	22	256
8	25	253
9	27	249
10	30	246
11	32	239
12	34	231
13	36	224
14	38	218
15	40	211
16	42	207
17	44	203
18	47	200
19	48	195
20	51	194
21	54	192
22	56	190
23	58	186
24	60	181
25	62	177
26	64	174
27	66	171
28	68	168
29	70	165
30	73	163
31	75	160
32	77	157
33	79	154
34	81	152
35	84	149
36	86	147
37	89	146
38	92	144
39	95	143
40	98	141
41	101	140
42	103	137
43	106	135
44	108	132
45	110	129
46	113	127
47	116	126
48	118	123
49	121	121
50	124	119
51	126	116
52	129	114
53	132	112
54	135	110
55	137	108
56	140	105
57	142	103
58	145	100
59	147	98
60	149	95
61	151	93
62	154	90
63	156	88
64	158	85
65	160	82
66	162	80
67	164	77
68	167	75
69	169	72
70	172	70
71	174	67
72	177	65
73	179	63
74	182	60
75	185	58
76	187	56
77	189	53
78	191	50
79	193	48
80	196	46
81	199	43
82	202	41
83	205	39
84	208	36
85	210	34
86	212	31
87	214	29
88	217	26
89	219	24
90	222	21
91	223	19
92	225	16
93	227	14
94	229	12
95	231	9
96	232	7
97	234	4
98	236	2
99	238	0
