iter	Passed	Remaining
0	24	24404
1	37	18870
2	42	14061
3	46	11498
4	49	9840
5	56	9379
6	61	8760
7	66	8190
8	69	7680
9	75	7442
10	82	7412
11	86	7112
12	92	6992
13	96	6810
14	99	6564
15	109	6747
16	113	6542
17	119	6526
18	127	6574
19	135	6653
20	140	6539
21	144	6414
22	147	6259
23	153	6231
24	170	6634
25	182	6820
26	192	6940
27	206	7172
28	219	7340
29	222	7191
30	225	7039
31	230	6959
32	234	6870
33	237	6736
34	240	6622
35	244	6554
36	249	6489
37	252	6401
38	257	6334
39	262	6295
40	267	6255
41	270	6176
42	275	6135
43	279	6071
44	282	6001
45	287	5970
46	291	5906
47	294	5836
48	297	5778
49	303	5761
50	306	5701
51	313	5722
52	318	5695
53	321	5635
54	324	5576
55	327	5520
56	332	5502
57	335	5453
58	338	5406
59	341	5353
60	344	5308
61	348	5275
62	351	5233
63	355	5199
64	358	5158
65	363	5139
66	366	5105
67	369	5070
68	375	5062
69	380	5051
70	383	5018
71	388	5011
72	398	5058
73	403	5043
74	408	5044
75	412	5020
76	417	5010
77	424	5013
78	427	4984
79	430	4953
80	435	4942
81	439	4923
82	441	4881
83	444	4851
84	450	4849
85	453	4822
86	471	4946
87	477	4948
88	481	4933
89	488	4943
90	517	5174
91	521	5147
92	524	5115
93	530	5115
94	533	5085
95	537	5061
96	541	5036
97	545	5018
98	548	4991
99	551	4964
100	556	4949
101	559	4926
102	564	4916
103	568	4898
104	574	4896
105	578	4883
106	585	4886
107	595	4916
108	604	4944
109	608	4921
110	612	4904
111	618	4904
112	624	4901
113	627	4873
114	632	4867
115	637	4856
116	643	4854
117	651	4867
118	655	4851
119	657	4825
120	663	4822
121	668	4807
122	671	4786
123	674	4763
124	678	4752
125	683	4738
126	685	4711
127	691	4713
128	694	4691
129	698	4671
130	701	4654
131	705	4636
132	708	4620
133	714	4618
134	718	4602
135	721	4583
136	724	4562
137	726	4540
138	729	4516
139	733	4506
140	740	4513
141	745	4501
142	747	4481
143	754	4482
144	756	4462
145	758	4439
146	761	4416
147	763	4392
148	766	4377
149	769	4360
150	772	4341
151	774	4322
152	777	4303
153	782	4298
154	784	4278
155	787	4259
156	789	4240
157	792	4225
158	798	4221
159	800	4202
160	801	4179
161	804	4161
162	807	4145
163	814	4150
164	817	4138
165	822	4130
166	827	4127
167	831	4117
168	835	4106
169	838	4092
170	843	4089
171	846	4072
172	848	4054
173	850	4036
174	852	4018
175	857	4016
176	861	4004
177	863	3989
178	866	3973
179	871	3968
180	874	3959
181	877	3945
182	880	3930
183	883	3916
184	887	3909
185	890	3895
186	892	3879
187	894	3864
188	897	3851
189	900	3840
190	903	3827
191	906	3812
192	908	3797
193	910	3783
194	912	3768
195	916	3757
196	918	3745
197	921	3730
198	923	3717
199	925	3703
200	929	3693
201	933	3687
202	936	3675
203	938	3661
204	940	3648
205	945	3643
206	947	3630
207	950	3618
208	952	3604
209	954	3591
210	957	3580
211	960	3571
212	963	3559
213	966	3548
214	968	3535
215	971	3524
216	974	3515
217	976	3503
218	978	3489
219	980	3477
220	983	3465
221	985	3454
222	988	3445
223	991	3435
224	993	3423
225	996	3413
226	999	3404
227	1003	3398
228	1006	3387
229	1008	3376
230	1010	3365
231	1013	3355
232	1017	3348
233	1020	3341
234	1023	3330
235	1025	3320
236	1027	3308
237	1030	3297
238	1032	3288
239	1035	3278
240	1037	3268
241	1040	3258
242	1042	3247
243	1045	3238
244	1048	3230
245	1051	3221
246	1053	3212
247	1056	3202
248	1058	3193
249	1062	3188
250	1065	3179
251	1068	3171
252	1070	3161
253	1073	3152
254	1077	3147
255	1080	3138
256	1083	3132
257	1086	3123
258	1088	3113
259	1091	3106
260	1094	3097
261	1096	3088
262	1099	3080
263	1101	3071
264	1106	3067
265	1108	3059
266	1111	3051
267	1113	3042
268	1116	3034
269	1120	3030
270	1124	3024
271	1126	3015
272	1129	3008
273	1132	2999
274	1136	2995
275	1138	2987
276	1141	2979
277	1143	2970
278	1147	2964
279	1154	2969
280	1157	2962
281	1161	2956
282	1164	2951
283	1167	2944
284	1170	2935
285	1172	2927
286	1175	2920
287	1178	2914
288	1182	2908
289	1185	2902
290	1188	2895
291	1191	2888
292	1196	2886
293	1198	2879
294	1201	2871
295	1204	2864
296	1210	2864
297	1212	2857
298	1215	2849
299	1217	2841
300	1220	2835
301	1225	2832
302	1228	2826
303	1231	2818
304	1234	2812
305	1237	2805
306	1240	2800
307	1243	2794
308	1246	2788
309	1249	2781
310	1253	2778
311	1257	2772
312	1259	2765
313	1262	2758
314	1265	2752
315	1271	2752
316	1274	2745
317	1277	2739
318	1280	2733
319	1286	2733
320	1289	2726
321	1292	2721
322	1295	2715
323	1302	2716
324	1306	2713
325	1309	2707
326	1312	2701
327	1316	2696
328	1319	2691
329	1322	2684
330	1325	2678
331	1332	2681
332	1335	2675
333	1338	2669
334	1341	2663
335	1345	2659
336	1348	2653
337	1351	2647
338	1354	2641
339	1359	2639
340	1362	2632
341	1364	2626
